Focus area,Year,Geographic area,Total investment (in billions of U.S. dollars)
Legal tech,2023,European Union and United Kingdom,0.03
Manufacturing,2017,European Union and United Kingdom,0.02
Manufacturing,2018,European Union and United Kingdom,0.01
Manufacturing,2019,European Union and United Kingdom,0.03
Manufacturing,2020,European Union and United Kingdom,0.01
Manufacturing,2021,European Union and United Kingdom,0.13
Manufacturing,2022,European Union and United Kingdom,0.08
Manufacturing,2023,European Union and United Kingdom,0.09
"Marketing, digital ads",2017,European Union and United Kingdom,0.03
"Marketing, digital ads",2018,European Union and United Kingdom,0.02
"Marketing, digital ads",2019,European Union and United Kingdom,0.05
"Marketing, digital ads",2020,European Union and United Kingdom,0.06
"Marketing, digital ads",2021,European Union and United Kingdom,0.16
"Marketing, digital ads",2022,European Union and United Kingdom,0.05
"Marketing, digital ads",2023,European Union and United Kingdom,0.08
Medical and healthcare,2017,European Union and United Kingdom,0.06
Medical and healthcare,2018,European Union and United Kingdom,0.12
Medical and healthcare,2019,European Union and United Kingdom,0.22
Medical and healthcare,2020,European Union and United Kingdom,0.28
Medical and healthcare,2021,European Union and United Kingdom,0.87
Medical and healthcare,2022,European Union and United Kingdom,1.10
Medical and healthcare,2023,European Union and United Kingdom,0.53
"NLP, customer support",2017,European Union and United Kingdom,0.08
"NLP, customer support",2018,European Union and United Kingdom,0.17
"NLP, customer support",2019,European Union and United Kingdom,0.34
"NLP, customer support",2020,European Union and United Kingdom,0.48
"NLP, customer support",2021,European Union and United Kingdom,1.87
"NLP, customer support",2022,European Union and United Kingdom,1.47
"NLP, customer support",2023,European Union and United Kingdom,1.19
Quantum computing,2018,European Union and United Kingdom,0.00
Quantum computing,2019,European Union and United Kingdom,0.00
Quantum computing,2020,European Union and United Kingdom,0.01
Quantum computing,2022,European Union and United Kingdom,0.00
Quantum computing,2023,European Union and United Kingdom,0.08
Retail,2017,European Union and United Kingdom,0.01
Retail,2018,European Union and United Kingdom,0.00
Retail,2019,European Union and United Kingdom,0.02
Retail,2020,European Union and United Kingdom,0.03
Retail,2021,European Union and United Kingdom,0.09
Retail,2022,European Union and United Kingdom,0.13
Retail,2023,European Union and United Kingdom,0.08
Semiconductor,2017,European Union and United Kingdom,0.10
Semiconductor,2018,European Union and United Kingdom,0.04
Semiconductor,2019,European Union and United Kingdom,0.08
Semiconductor,2020,European Union and United Kingdom,0.70
Semiconductor,2021,European Union and United Kingdom,0.08
Semiconductor,2022,European Union and United Kingdom,0.11
Semiconductor,2023,European Union and United Kingdom,0.14
VC,2017,European Union and United Kingdom,0.01
VC,2019,European Union and United Kingdom,0.03
VC,2020,European Union and United Kingdom,0.01
VC,2021,European Union and United Kingdom,0.00
VC,2022,European Union and United Kingdom,0.03
VC,2023,European Union and United Kingdom,0.00
AI infrastructure/research/governance,2018,United States,0.02
AI infrastructure/research/governance,2019,United States,0.08
AI infrastructure/research/governance,2020,United States,0.03
AI infrastructure/research/governance,2021,United States,0.18
AI infrastructure/research/governance,2022,United States,0.71
AI infrastructure/research/governance,2023,United States,18.22
AR/VR,2017,United States,0.01
AR/VR,2018,United States,0.02
AR/VR,2019,United States,0.02
AR/VR,2020,United States,0.27
AR/VR,2021,United States,0.71
AR/VR,2022,United States,0.20
AR/VR,2023,United States,0.60
AV,2017,United States,0.29
AV,2018,United States,0.27
AV,2019,United States,0.42
AV,2020,United States,2.20
AV,2021,United States,0.45
AV,2022,United States,0.99
AV,2023,United States,1.92
Agritech,2017,United States,0.04
Agritech,2018,United States,0.07
Agritech,2019,United States,0.15
Agritech,2020,United States,0.20
Agritech,2021,United States,0.75
Agritech,2022,United States,0.23
Agritech,2023,United States,0.29
"Creative, music, video content",2017,United States,0.28
"Creative, music, video content",2018,United States,0.21
"Creative, music, video content",2019,United States,0.24
"Creative, music, video content",2020,United States,0.39
"Creative, music, video content",2021,United States,1.34
"Creative, music, video content",2022,United States,0.98
"Creative, music, video content",2023,United States,0.76
"Cybersecurity, data protection",2017,United States,0.15
"Cybersecurity, data protection",2018,United States,0.11
"Cybersecurity, data protection",2019,United States,0.44
"Cybersecurity, data protection",2020,United States,0.71
"Cybersecurity, data protection",2021,United States,0.51
"Cybersecurity, data protection",2022,United States,0.93
"Cybersecurity, data protection",2023,United States,0.28
"Data management, processing",2017,United States,0.27
"Data management, processing",2018,United States,0.98
"Data management, processing",2019,United States,1.75
"Data management, processing",2020,United States,1.42
"Data management, processing",2021,United States,4.72
"Data management, processing",2022,United States,3.21
"Data management, processing",2023,United States,4.72
Drones,2017,United States,0.03
Drones,2018,United States,0.05
Drones,2019,United States,0.04
Drones,2020,United States,0.13
Drones,2021,United States,2.03
Drones,2022,United States,4.04
Drones,2023,United States,0.87
Ed tech,2017,United States,0.36
Ed tech,2018,United States,0.46
Ed tech,2019,United States,0.23
Ed tech,2020,United States,2.00
Ed tech,2021,United States,1.16
Ed tech,2022,United States,0.89
Ed tech,2023,United States,0.87
"Energy, oil, and gas",2017,United States,1.06
"Energy, oil, and gas",2018,United States,0.49
"Energy, oil, and gas",2019,United States,0.58
"Energy, oil, and gas",2020,United States,0.69
"Energy, oil, and gas",2021,United States,1.24
"Energy, oil, and gas",2022,United States,2.65
"Energy, oil, and gas",2023,United States,0.68
Entertainment,2017,United States,0.03
Entertainment,2018,United States,0.12
Entertainment,2019,United States,0.08
Entertainment,2020,United States,0.06
Entertainment,2021,United States,0.41
Entertainment,2022,United States,0.16
Entertainment,2023,United States,0.28
Facial recognition,2017,United States,0.03
Facial recognition,2018,United States,0.04
Facial recognition,2019,United States,0.10
Facial recognition,2020,United States,0.17
Facial recognition,2021,United States,0.46
Facial recognition,2022,United States,0.40
Facial recognition,2023,United States,0.09
Fintech,2017,United States,0.15
Fintech,2018,United States,0.12
Fintech,2019,United States,0.31
Fintech,2020,United States,0.31
Fintech,2021,United States,1.55
Fintech,2022,United States,1.29
Fintech,2023,United States,0.96
Fitness and wellness,2017,United States,0.03
Fitness and wellness,2018,United States,0.13
Fitness and wellness,2019,United States,0.25
Fitness and wellness,2020,United States,0.32
Fitness and wellness,2021,United States,1.53
Fitness and wellness,2022,United States,0.42
Fitness and wellness,2023,United States,0.20
Hardware,2023,United States,0.31
Insurtech,2017,United States,0.02
Insurtech,2018,United States,0.04
Insurtech,2019,United States,0.21
Insurtech,2020,United States,0.43
Insurtech,2021,United States,1.20
Insurtech,2022,United States,0.90
Insurtech,2023,United States,0.42
Legal tech,2017,United States,0.07
Legal tech,2018,United States,0.25
Legal tech,2019,United States,0.89
Legal tech,2020,United States,0.35
Legal tech,2021,United States,1.00
Legal tech,2022,United States,0.46
Legal tech,2023,United States,0.27
Manufacturing,2017,United States,0.06
Manufacturing,2018,United States,0.03
Manufacturing,2019,United States,0.01
Manufacturing,2020,United States,0.09
Manufacturing,2021,United States,0.40
Manufacturing,2022,United States,0.18
Manufacturing,2023,United States,0.20
"Marketing, digital ads",2017,United States,0.08
"Marketing, digital ads",2018,United States,0.12
"Marketing, digital ads",2019,United States,0.12
"Marketing, digital ads",2020,United States,1.23
"Marketing, digital ads",2021,United States,0.36
"Marketing, digital ads",2022,United States,0.58
"Marketing, digital ads",2023,United States,0.41
Medical and healthcare,2017,United States,0.29
Medical and healthcare,2018,United States,0.58
Medical and healthcare,2019,United States,1.48
Medical and healthcare,2020,United States,3.49
Medical and healthcare,2021,United States,6.73
Medical and healthcare,2022,United States,5.19
Medical and healthcare,2023,United States,2.74
"NLP, customer support",2017,United States,0.67
"NLP, customer support",2018,United States,0.83
"NLP, customer support",2019,United States,3.35
"NLP, customer support",2020,United States,2.87
"NLP, customer support",2021,United States,11.95
"NLP, customer support",2022,United States,5.11
"NLP, customer support",2023,United States,5.42
Quantum computing,2017,United States,0.05
Quantum computing,2019,United States,0.08
Quantum computing,2020,United States,0.26
Quantum computing,2021,United States,0.38
Quantum computing,2022,United States,0.32
Quantum computing,2023,United States,1.84
Retail,2017,United States,0.10
Retail,2018,United States,0.09
Retail,2019,United States,0.03
Retail,2020,United States,0.15
Retail,2021,United States,0.48
Retail,2022,United States,0.61
Retail,2023,United States,0.35
Semiconductor,2017,United States,0.03
Semiconductor,2018,United States,0.16
Semiconductor,2019,United States,0.16
Semiconductor,2020,United States,0.46
Semiconductor,2021,United States,0.47
Semiconductor,2022,United States,1.48
Semiconductor,2023,United States,0.79
VC,2017,United States,0.10
VC,2018,United States,0.05
VC,2019,United States,0.08
VC,2020,United States,0.61
VC,2021,United States,0.85
VC,2022,United States,0.15
VC,2023,United States,0.23
AI infrastructure/research/governance,2019,China,0.03
AI infrastructure/research/governance,2020,China,0.03
AI infrastructure/research/governance,2021,China,0.05
AI infrastructure/research/governance,2022,China,0.08
AI infrastructure/research/governance,2023,China,0.03
AR/VR,2017,China,0.06
AR/VR,2018,China,0.01
AR/VR,2019,China,0.14
AR/VR,2020,China,0.47
AR/VR,2021,China,0.13
AR/VR,2022,China,0.08
AR/VR,2023,China,0.01
AV,2017,China,0.07
AV,2018,China,0.28
AV,2019,China,0.08
AV,2020,China,0.07
AV,2021,China,1.79
AV,2022,China,0.50
AV,2023,China,0.28
Agritech,2017,China,0.01
Agritech,2020,China,0.09
Agritech,2021,China,0.14
Agritech,2022,China,0.10
Agritech,2023,China,0.01
"Creative, music, video content",2017,China,0.10
"Creative, music, video content",2018,China,0.41
"Creative, music, video content",2019,China,0.29
"Creative, music, video content",2020,China,0.13
"Creative, music, video content",2021,China,0.26
"Creative, music, video content",2022,China,0.33
"Creative, music, video content",2023,China,0.02
"Cybersecurity, data protection",2017,China,0.03
"Cybersecurity, data protection",2019,China,0.00
"Cybersecurity, data protection",2020,China,0.06
"Cybersecurity, data protection",2021,China,0.25
"Cybersecurity, data protection",2022,China,0.06
"Cybersecurity, data protection",2023,China,0.00
"Data management, processing",2017,China,0.05
"Data management, processing",2018,China,0.03
"Data management, processing",2019,China,0.20
"Data management, processing",2020,China,0.53
"Data management, processing",2021,China,1.28
"Data management, processing",2022,China,0.60
"Data management, processing",2023,China,0.37
Drones,2017,China,0.04
Drones,2018,China,0.03
Drones,2019,China,0.04
Drones,2020,China,0.09
Drones,2021,China,0.06
Drones,2022,China,0.08
Drones,2023,China,0.05
Ed tech,2017,China,0.48
Ed tech,2018,China,0.81
Ed tech,2019,China,0.61
Ed tech,2020,China,0.13
Ed tech,2021,China,0.49
Ed tech,2022,China,0.34
Ed tech,2023,China,0.09
"Energy, oil, and gas",2017,China,0.05
"Energy, oil, and gas",2018,China,0.18
"Energy, oil, and gas",2019,China,0.07
"Energy, oil, and gas",2020,China,0.20
"Energy, oil, and gas",2021,China,0.65
"Energy, oil, and gas",2022,China,0.46
"Energy, oil, and gas",2023,China,0.36
Entertainment,2017,China,0.18
Entertainment,2018,China,0.07
Entertainment,2021,China,0.05
Entertainment,2022,China,0.00
Entertainment,2023,China,0.02
Facial recognition,2017,China,0.30
Facial recognition,2018,China,1.57
Facial recognition,2019,China,0.71
Facial recognition,2020,China,0.59
Facial recognition,2021,China,3.04
Facial recognition,2022,China,0.06
Facial recognition,2023,China,0.13
Fintech,2017,China,0.17
Fintech,2018,China,0.05
Fintech,2019,China,0.21
Fintech,2020,China,0.15
Fintech,2021,China,0.55
Fintech,2022,China,0.06
Fintech,2023,China,0.04
Fitness and wellness,2018,China,0.05
Fitness and wellness,2022,China,0.00
Fitness and wellness,2023,China,0.00
Hardware,2023,China,0.00
Insurtech,2018,China,0.06
Insurtech,2019,China,0.02
Insurtech,2020,China,0.07
Insurtech,2021,China,0.18
Insurtech,2022,China,0.18
Insurtech,2023,China,0.00
Legal tech,2018,China,0.01
Legal tech,2019,China,0.01
Legal tech,2020,China,0.04
Legal tech,2021,China,0.03
Legal tech,2023,China,0.01
Manufacturing,2017,China,0.01
Manufacturing,2018,China,0.19
Manufacturing,2019,China,0.03
Manufacturing,2020,China,0.30
Manufacturing,2021,China,0.22
Manufacturing,2022,China,0.33
Manufacturing,2023,China,0.53
"Marketing, digital ads",2017,China,0.02
"Marketing, digital ads",2018,China,0.02
"Marketing, digital ads",2019,China,0.03
"Marketing, digital ads",2020,China,0.12
"Marketing, digital ads",2021,China,0.08
"Marketing, digital ads",2022,China,0.04
"Marketing, digital ads",2023,China,0.41
Medical and healthcare,2017,China,0.09
Medical and healthcare,2018,China,0.18
Medical and healthcare,2019,China,0.25
Medical and healthcare,2020,China,1.00
Medical and healthcare,2021,China,2.67
Medical and healthcare,2022,China,1.44
Medical and healthcare,2023,China,0.48
"NLP, customer support",2017,China,0.23
"NLP, customer support",2018,China,1.45
"NLP, customer support",2019,China,0.53
"NLP, customer support",2020,China,0.74
"NLP, customer support",2021,China,2.98
"NLP, customer support",2022,China,0.70
"NLP, customer support",2023,China,0.60
Quantum computing,2017,China,0.07
Quantum computing,2018,China,0.00
Quantum computing,2021,China,0.05
Quantum computing,2022,China,0.15
Quantum computing,2023,China,0.00
Retail,2017,China,0.06
Retail,2018,China,0.06
Retail,2019,China,0.07
Retail,2020,China,0.38
Retail,2021,China,0.09
Retail,2022,China,0.05
Retail,2023,China,0.12
Semiconductor,2017,China,0.17
Semiconductor,2018,China,0.04
Semiconductor,2019,China,0.23
Semiconductor,2020,China,0.19
Semiconductor,2021,China,1.25
Semiconductor,2022,China,0.83
Semiconductor,2023,China,0.63
VC,2018,China,0.11
VC,2019,China,0.01
VC,2020,China,0.24
VC,2021,China,0.06
VC,2023,China,0.10
