period,quarter,year,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2022-Q2,2,2022,5.5,1.1,0.233,0.015,1376.0,6611,0.04,0.193,0.014,1.213,0.047,0.066,0.087,0.356,0.1,0.203,15.2,0.515,0.38,0.784,0.754,1.221,0.642,0.011,0.244,14.2,0.001,0.084,0.187
2022-Q1,1,2022,9.9,1.9,0.205,0.013,1144.0,6100,0.038,0.118,0.014,1.177,0.049,0.064,0.088,0.354,0.1,0.018,15.6,0.511,0.436,0.759,0.729,1.171,0.648,0.01,0.27,14.6,0.002,-0.071,0.137
2021-Q4,4,2021,12.1,2.1,0.185,0.011,1123.0,6569,0.035,0.092,0.013,1.142,0.049,0.058,0.08,0.581,0.1,0.066,17.2,0.323,0.212,0.754,0.723,1.159,0.651,0.01,0.273,16.2,0.002,0.04,0.183
2021-Q3,3,2021,18.6,3.1,0.18,0.012,1053.0,6317,0.037,0.094,0.014,0.982,0.056,0.063,0.083,0.537,0.1,0.008,15.8,0.37,0.273,0.807,0.769,1.095,0.737,0.011,0.216,14.8,0.003,0.039,0.23
2021-Q2,2,2021,23.1,4.0,0.186,0.011,1045.0,6078,0.036,0.101,0.013,0.965,0.053,0.061,0.081,0.451,0.1,0.186,16.4,0.439,0.305,0.788,0.748,1.027,0.767,0.01,0.236,15.4,0.003,0.029,0.255
2021-Q1,1,2021,15.9,2.4,0.16,0.01,880.0,5907,0.034,0.127,0.014,0.945,0.055,0.062,0.083,0.437,0.1,-0.182,16.2,0.444,0.373,0.786,0.745,1.037,0.758,0.011,0.236,15.2,0.001,-0.282,0.265
2020-Q4,4,2020,9.3,1.2,0.139,0.008,1076.0,8230,0.032,0.221,0.014,0.896,0.055,0.059,0.081,0.587,0.1,0.105,17.0,0.281,0.181,0.772,0.729,1.012,0.763,0.01,0.255,16.0,0.001,0.034,0.257
2020-Q3,3,2020,8.5,1.0,0.129,0.008,974.0,7960,0.033,0.087,0.016,0.732,0.06,0.065,0.086,0.576,0.1,0.116,15.4,0.339,0.296,0.8,0.751,1.029,0.777,0.012,0.223,14.4,0.001,0.045,0.181
2020-Q2,2,2020,6.9,0.8,0.12,0.007,872.0,7620,0.031,0.147,0.016,0.728,0.06,0.062,0.087,0.619,0.1,-0.1,16.2,0.305,0.187,0.757,0.713,1.058,0.715,0.012,0.265,15.2,0.001,0.008,0.179
2020-Q1,1,2020,4.3,0.5,0.136,0.009,969.0,7556,0.033,0.038,0.014,0.823,0.062,0.064,0.09,0.621,0.1,-0.271,15.5,0.305,0.325,0.754,0.712,1.004,0.751,0.01,0.266,14.5,0.001,-0.277,0.168
2019-Q4,4,2019,4.4,0.6,0.14,0.008,1329.0,10451,0.034,0.117,0.014,0.847,0.06,0.062,0.09,0.702,0.1,0.108,16.1,0.214,0.163,0.731,0.695,1.027,0.712,0.01,0.288,15.1,0.002,0.024,0.179
2019-Q3,3,2019,4.7,0.5,0.129,0.008,1200.0,10211,0.035,0.057,0.015,0.806,0.06,0.064,0.091,0.604,0.1,0.102,15.7,0.315,0.254,0.74,0.696,1.013,0.73,0.01,0.286,14.7,0.002,0.035,0.17
2019-Q2,2,2019,5.2,0.6,0.121,0.007,1089.0,9868,0.032,0.104,0.015,0.81,0.056,0.063,0.092,0.621,0.1,0.434,16.0,0.305,0.279,0.719,0.68,0.994,0.724,0.01,0.303,15.0,0.004,0.022,0.128
2019-Q1,1,2019,8.8,0.7,0.086,0.005,759.0,9652,0.031,-0.023,0.014,0.934,0.057,0.064,0.094,0.529,0.1,-0.008,15.7,0.378,0.3,0.721,0.68,0.983,0.734,0.009,0.3,14.7,0.003,0.139,0.144
2018-Q4,4,2018,9.1,0.8,0.094,0.005,765.0,8475,0.031,-0.016,0.014,0.882,0.057,0.058,0.086,0.669,0.1,-0.105,17.2,0.223,0.095,0.721,0.681,0.954,0.755,0.01,0.297,16.2,0.004,0.013,0.185
2018-Q3,3,2018,8.5,0.9,0.107,0.007,855.0,8364,0.033,0.037,0.013,0.849,0.058,0.06,0.087,0.581,0.1,-0.119,16.6,0.338,0.213,0.729,0.688,0.903,0.807,0.009,0.286,15.6,0.003,0.033,0.214
2018-Q2,2,2018,8.1,1.0,0.127,0.007,971.0,8099,0.033,-0.18,0.01,1.12,0.052,0.055,0.085,0.743,0.1,-0.185,18.0,0.21,0.095,0.688,0.651,0.783,0.879,0.007,0.326,17.0,0.002,0.009,0.238
2018-Q1,1,2018,8.8,1.3,0.159,0.009,1192.0,8024,0.035,0.007,0.011,1.046,0.049,0.057,0.089,0.528,0.1,0.41,17.6,0.389,0.347,0.674,0.637,0.749,0.9,0.007,0.34,16.6,0.002,0.029,0.217
2017-Q4,4,2017,10.2,1.1,0.115,0.007,845.0,7796,0.027,0.019,0.011,1.145,0.035,0.057,0.093,0.722,0.1,0.312,17.4,0.201,0.18,0.648,0.616,0.784,0.826,0.007,0.366,16.4,0.0,0.026,0.263
2017-Q3,3,2017,,,0.091,0.006,644.0,7594,0.02,-0.079,0.012,1.053,0.024,0.062,0.096,0.5,0.1,1.178,16.2,0.401,0.332,0.681,0.641,0.775,0.879,0.008,0.337,15.2,-0.002,0.048,0.306
2017-Q2,2,2017,,,0.043,0.003,295.0,7246,0.01,-0.004,0.013,0.963,0.013,0.061,0.094,0.55,0.1,,16.3,0.363,0.279,0.692,0.651,0.856,0.808,0.009,0.322,15.3,-0.004,0.043,0.424
2017-Q1,1,2017,,,,,,6950,,,0.013,0.912,,0.061,0.094,,0.1,,16.5,,,0.687,0.644,0.797,0.861,0.009,0.324,15.5,,0.004,0.515
2016-Q4,4,2016,,,,,,6922,,,,,,0.059,0.105,,0.1,,17.0,,,0.593,0.562,0.718,0.827,,0.417,16.0,,0.046,0.419
2016-Q3,3,2016,,,,,,6620,,,,,,0.06,0.11,,0.1,,16.7,,,0.588,0.546,0.698,0.842,,0.418,15.7,,0.043,0.33
2016-Q2,2,2016,,,,,,6346,,,,,,0.06,0.118,,0.1,,16.7,,,0.562,0.508,0.586,0.959,,0.429,15.7,,0.021,0.264
2016-Q1,1,2016,,,,,,6216,,,,,,0.066,0.128,,0.1,,15.1,,,0.587,0.519,0.64,0.917,,0.404,14.1,,-0.016,0.223
2015-Q4,4,2015,,,,,,6314,,,,,,0.071,0.135,,0.1,,14.2,,,0.589,0.522,0.724,0.815,,0.403,13.2,,0.006,0.36
2015-Q3,3,2015,,,,,,6278,,,0.009,1.25,,0.071,0.138,,0.1,,14.1,,,0.592,0.512,0.64,0.925,0.005,0.391,13.1,,0.022,0.484
