period,quarter,year,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2020-Q2,2,2020,8.3,0.7,0.092,0.005,1290,14559,0.025,0.259,0.022,0.694,0.054,0.057,0.088,0.554,0.1,0.015,17.6,0.348,0.096,0.724,0.645,0.729,0.993,0.014,0.28,16.6,0.007,-0.004,0.112
2020-Q1,1,2020,5.7,0.5,0.09,0.005,1271,14611,0.025,0.269,0.02,0.682,0.055,0.06,0.09,0.638,0.1,-0.066,16.7,0.288,0.202,0.758,0.667,0.755,1.005,0.013,0.252,15.7,0.006,-0.014,0.13
2019-Q4,4,2019,7.4,0.7,0.096,0.006,1361,14826,0.024,0.53,0.019,0.693,0.054,0.059,0.09,0.683,0.1,-0.118,17.0,0.232,0.141,0.744,0.653,0.739,1.008,0.013,0.258,16.0,0.006,0.02,0.154
2019-Q3,3,2019,6.8,0.7,0.111,0.007,1542,14542,0.026,0.272,0.02,0.705,0.053,0.058,0.09,0.585,0.1,0.28,17.2,0.311,0.192,0.742,0.645,0.727,1.021,0.013,0.265,16.2,0.007,0.029,0.146
2019-Q2,2,2019,9.4,0.8,0.088,0.005,1205,14137,0.024,0.387,0.02,0.685,0.052,0.058,0.091,0.692,0.1,-0.029,17.2,0.237,0.093,0.733,0.636,0.72,1.018,0.013,0.269,16.2,0.005,0.001,0.133
2019-Q1,1,2019,9.8,0.9,0.091,0.006,1240,14125,0.024,0.306,0.021,0.653,0.052,0.06,0.094,0.579,0.1,0.25,16.7,0.335,0.238,0.743,0.638,0.718,1.034,0.014,0.262,15.7,0.004,0.034,0.181
2018-Q4,4,2018,12.0,0.9,0.075,0.005,992,13656,0.023,0.432,0.021,0.649,0.053,0.061,0.096,0.638,0.1,0.343,16.5,0.334,0.231,0.742,0.632,0.735,1.01,0.013,0.253,15.5,0.004,0.036,0.151
2018-Q3,3,2018,18.3,1.0,0.057,0.003,738,13184,0.022,0.297,0.032,0.477,0.052,0.059,0.094,0.666,0.1,-0.098,17.0,0.171,0.055,0.741,0.628,0.709,1.045,0.02,0.263,16.0,0.002,0.006,0.136
2018-Q2,2,2018,14.1,0.9,0.064,0.004,818,13111,0.021,0.333,0.037,0.343,0.051,0.059,0.096,0.653,0.1,0.087,16.9,0.261,0.139,0.725,0.616,0.693,1.046,0.023,0.273,15.9,0.002,-0.001,0.129
2018-Q1,1,2018,20.6,1.2,0.058,0.004,753,13123,0.019,0.287,0.04,0.309,0.051,0.062,0.103,0.75,0.1,0.159,16.1,0.197,0.169,0.72,0.602,0.676,1.064,0.024,0.276,15.1,0.002,0.019,0.112
2017-Q4,4,2017,19.8,1.0,0.051,0.003,650,12878,0.018,0.502,0.042,0.3,0.051,0.063,0.104,0.644,0.1,0.658,15.9,0.308,0.132,0.729,0.605,0.697,1.046,0.025,0.261,14.9,0.002,0.02,0.121
2017-Q3,3,2017,31.9,1.0,0.031,0.002,392,12631,0.018,0.242,0.059,0.191,0.05,0.063,0.102,0.737,0.1,0.286,16.0,0.18,0.137,0.727,0.614,0.714,1.018,0.036,0.273,15.0,0.004,0.013,0.143
2017-Q2,2,2017,45.2,1.1,0.025,0.002,304,12465,0.016,0.397,0.075,0.147,0.049,0.063,0.103,0.789,0.1,3.009,15.8,0.2,0.151,0.73,0.614,0.689,1.06,0.046,0.267,14.8,0.003,-0.027,0.097
2017-Q1,1,2017,150.5,0.9,0.006,0.0,76,12814,0.014,0.376,0.049,0.24,0.049,0.067,0.112,0.817,0.1,0.548,14.9,0.124,0.125,0.722,0.599,0.681,1.06,0.029,0.274,13.9,0.003,0.006,0.082
2016-Q4,4,2016,192.4,0.7,0.004,0.0,49,12736,0.016,0.357,0.054,0.229,0.049,0.069,0.116,0.679,0.1,-1.24,14.5,0.389,-0.031,0.723,0.597,0.683,1.06,0.032,0.267,13.5,0.003,0.013,0.07
2016-Q3,3,2016,-45.6,0.7,-0.017,-0.001,-204,12569,0.016,0.419,0.024,0.531,0.056,0.071,0.116,0.919,0.1,10.886,14.1,0.065,0.091,0.747,0.61,0.684,1.093,0.014,0.252,13.1,0.002,0.033,0.338
2016-Q2,2,2016,-656.9,0.9,-0.002,0.0,-17,12171,0.02,0.544,0.095,0.123,0.051,0.07,0.11,1.163,0.1,-1.046,14.2,-0.146,-0.141,0.782,0.639,0.711,1.1,0.061,0.221,13.2,0.004,-0.032,0.415
2016-Q1,1,2016,27.7,0.8,0.032,0.003,372,12577,0.028,0.277,0.023,0.535,0.047,0.074,0.119,0.855,0.1,-0.414,13.5,0.118,0.095,0.768,0.622,0.695,1.104,0.014,0.233,12.5,0.006,0.005,0.423
2015-Q4,4,2015,20.6,1.0,0.056,0.005,635,12518,0.033,0.457,0.019,0.663,0.043,0.077,0.121,0.728,0.1,-0.427,13.0,0.211,-0.31,0.792,0.636,0.712,1.112,0.012,0.209,12.0,0.008,0.158,0.452
2015-Q3,3,2015,12.3,1.3,0.108,0.01,1109,10812,0.039,0.168,0.016,0.704,0.047,0.092,0.134,0.598,0.1,-0.056,10.9,0.318,0.213,0.759,0.684,0.793,0.958,0.011,0.275,9.9,0.008,0.029,0.171
2015-Q2,2,2015,13.2,1.5,0.118,0.011,1176,10511,0.039,0.173,0.012,0.935,0.049,0.09,0.135,0.519,0.1,-0.048,11.1,0.367,0.242,0.74,0.668,0.782,0.947,0.008,0.295,10.1,0.009,0.013,0.161
2015-Q1,1,2015,12.6,1.5,0.126,0.012,1235,10372,0.042,0.136,0.015,0.727,0.052,0.094,0.14,0.491,0.1,0.007,10.6,0.399,0.283,0.756,0.674,0.783,0.966,0.01,0.28,9.6,0.009,0.035,0.17
