period,quarter,year,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2020-Q1,1,2020,10.8,1.4,0.14,0.007,828,6261,0.025,0.09,0.022,0.51,0.066,0.052,0.068,0.579,0.1,-0.124,19.2,0.332,0.332,0.852,0.765,1.075,0.793,0.017,0.152,18.2,0.008,-0.107,0.248
2019-Q4,4,2019,4.2,0.6,0.143,0.007,944,7015,0.025,0.266,0.018,0.644,0.063,0.051,0.071,0.38,0.1,0.066,19.5,0.495,0.192,0.808,0.725,1.023,0.79,0.013,0.194,18.5,0.009,0.028,0.222
2019-Q3,3,2019,4.5,0.6,0.138,0.007,885,6825,0.025,0.075,0.029,0.456,0.065,0.051,0.072,0.42,0.1,0.135,19.6,0.463,0.23,0.785,0.708,1.027,0.765,0.02,0.212,18.6,0.007,0.045,0.283
2019-Q2,2,2019,5.3,0.6,0.126,0.006,780,6531,0.022,0.123,0.029,0.435,0.063,0.051,0.073,0.432,0.1,0.17,19.6,0.455,0.365,0.766,0.702,0.982,0.78,0.021,0.235,18.6,0.006,0.021,0.152
2019-Q1,1,2019,6.8,0.7,0.11,0.006,667,6399,0.02,0.123,0.024,0.553,0.062,0.051,0.076,0.518,0.1,0.121,19.5,0.385,0.385,0.741,0.679,0.97,0.764,0.016,0.26,18.5,0.006,0.031,0.116
2018-Q4,4,2018,9.1,0.9,0.101,0.005,595,6207,0.02,0.216,0.024,0.575,0.062,0.051,0.076,0.419,0.1,0.01,19.5,0.463,0.177,0.728,0.671,0.963,0.755,0.016,0.275,18.5,0.006,0.031,0.106
2018-Q3,3,2018,11.6,1.1,0.107,0.006,589,6019,0.021,0.079,0.028,0.557,0.062,0.054,0.081,0.546,0.1,-0.086,18.7,0.363,0.218,0.728,0.657,0.898,0.811,0.018,0.269,17.7,0.004,0.033,0.028
2018-Q2,2,2018,9.6,1.1,0.117,0.006,644,5824,0.02,0.21,0.027,0.518,0.059,0.051,0.075,0.491,0.1,0.013,19.6,0.405,0.3,0.758,0.686,0.949,0.799,0.019,0.241,18.6,0.005,0.022,0.159
2018-Q1,1,2018,15.2,1.7,0.118,0.006,636,5700,0.02,0.102,0.023,0.617,0.059,0.053,0.075,0.524,0.1,0.102,18.9,0.381,0.337,0.792,0.706,0.971,0.815,0.016,0.207,17.9,0.005,0.023,0.177
2017-Q4,4,2017,11.3,1.2,0.109,0.006,577,5574,0.02,0.159,0.019,0.725,0.058,0.053,0.076,0.321,0.1,0.121,18.7,0.534,0.188,0.773,0.706,1.0,0.773,0.013,0.227,17.7,0.006,0.111,0.208
2017-Q3,3,2017,10.9,1.1,0.108,0.006,514,5016,0.02,0.597,0.019,0.598,0.058,0.051,0.07,0.354,0.1,0.193,19.8,0.52,0.239,0.792,0.725,0.992,0.798,0.014,0.207,18.8,0.007,-0.035,0.301
2017-Q2,2,2017,12.3,1.0,0.09,0.005,431,5196,0.021,0.166,0.019,0.535,0.055,0.055,0.077,0.535,0.1,0.24,18.0,0.367,0.377,0.784,0.72,1.002,0.782,0.014,0.218,17.0,0.006,0.03,0.275
2017-Q1,1,2017,11.5,0.8,0.074,0.004,347,5045,0.021,0.121,0.019,0.586,0.051,0.054,0.078,0.526,0.1,0.001,18.4,0.378,0.233,0.759,0.694,0.978,0.776,0.013,0.242,17.4,0.007,0.013,0.25
2016-Q4,4,2016,9.3,0.6,0.076,0.004,347,4979,0.021,0.125,0.019,0.569,0.05,0.057,0.082,0.421,0.1,0.084,17.7,0.48,0.148,0.757,0.692,0.973,0.778,0.013,0.244,16.7,0.007,0.11,0.235
2016-Q3,3,2016,9.3,0.7,0.074,0.004,320,4485,0.02,0.366,0.022,0.518,0.052,0.056,0.081,0.551,0.1,0.013,18.0,0.347,0.18,0.765,0.685,0.903,0.847,0.015,0.236,17.0,0.004,0.027,0.202
2016-Q2,2,2016,12.5,0.9,0.075,0.004,316,4367,0.021,0.1,0.022,0.493,0.052,0.055,0.083,0.609,0.1,-0.043,18.2,0.32,0.188,0.744,0.665,0.885,0.84,0.015,0.254,17.2,0.004,0.009,0.188
2016-Q1,1,2016,12.8,1.0,0.079,0.005,330,4330,0.021,0.093,0.019,0.608,0.053,0.057,0.084,0.517,0.1,0.098,17.6,0.387,0.249,0.754,0.676,0.889,0.848,0.013,0.246,16.6,0.003,0.026,0.23
2015-Q4,4,2015,14.0,1.0,0.074,0.004,301,4220,0.02,0.151,0.017,0.628,0.05,0.055,0.086,0.452,0.1,0.017,18.2,0.439,0.174,0.73,0.642,0.883,0.827,0.011,0.267,17.2,0.005,0.016,0.263
2015-Q3,3,2015,14.7,1.0,0.074,0.005,296,4152,0.021,0.185,0.024,0.431,0.054,0.06,0.09,0.612,0.1,0.003,16.6,0.303,0.194,0.762,0.669,0.85,0.896,0.016,0.236,15.6,0.006,0.023,0.275
2015-Q2,2,2015,16.9,1.2,0.073,0.005,295,4061,0.021,0.133,0.025,0.392,0.056,0.061,0.091,0.456,0.1,0.026,16.4,0.413,0.269,0.751,0.669,0.841,0.893,0.017,0.249,15.4,0.007,0.014,0.296
2015-Q1,1,2015,18.2,1.3,0.072,0.005,287,4004,0.024,0.088,0.027,0.353,0.059,0.064,0.095,0.68,0.1,-0.062,15.5,0.254,0.245,0.773,0.674,0.831,0.93,0.018,0.225,14.5,0.008,0.015,0.36
