period,quarter,year,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2020-Q3,3,2020,6.3,1.5,0.263,0.021,2269,9760,0.042,0.229,0.018,0.922,0.045,0.08,0.14,0.366,0.1,0.048,12.5,0.508,0.357,0.616,0.57,1.015,0.606,0.01,0.406,11.5,0.008,0.067,0.187
2020-Q2,2,2020,5.8,1.4,0.266,0.021,2165,9148,0.042,0.28,0.015,1.127,0.047,0.08,0.144,0.401,0.1,0.064,12.5,0.478,0.334,0.597,0.554,1.044,0.572,0.008,0.425,11.5,0.011,0.044,0.129
2020-Q1,1,2020,5.1,1.2,0.256,0.02,2036,8764,0.041,0.289,0.019,0.76,0.046,0.078,0.138,0.451,0.1,0.041,12.7,0.44,0.333,0.612,0.569,1.121,0.546,0.011,0.409,11.7,0.012,0.06,0.186
2019-Q4,4,2019,8.8,2.1,0.261,0.021,1956,8265,0.041,0.464,0.013,0.978,0.046,0.079,0.137,0.357,0.1,0.269,12.6,0.515,0.418,0.64,0.581,1.035,0.619,0.008,0.373,11.6,0.011,0.098,0.239
2019-Q3,3,2019,11.9,2.4,0.22,0.017,1540,7529,0.042,0.265,0.015,0.801,0.046,0.077,0.128,0.371,0.1,0.069,12.9,0.503,0.32,0.667,0.604,1.086,0.615,0.009,0.344,11.9,0.01,0.056,0.259
2019-Q2,2,2019,13.0,2.6,0.218,0.017,1441,7132,0.04,0.267,0.015,0.841,0.045,0.077,0.127,0.414,0.1,0.156,12.9,0.469,0.319,0.659,0.61,1.1,0.599,0.009,0.361,11.9,0.005,-0.005,0.206
2019-Q1,1,2019,13.9,2.4,0.212,0.015,1247,7170,0.039,0.326,0.014,0.888,0.044,0.081,0.134,0.471,0.1,-0.19,12.3,0.423,0.358,0.655,0.605,1.087,0.603,0.008,0.36,11.3,0.004,-0.211,0.214
2018-Q4,4,2018,10.6,1.8,0.208,0.014,1539,9082,0.037,0.207,0.011,1.033,0.042,0.078,0.138,0.545,0.1,0.17,12.8,0.363,0.323,0.629,0.567,1.014,0.62,0.006,0.377,11.8,0.004,0.043,0.217
2018-Q3,3,2018,12.7,1.9,0.185,0.013,1315,8707,0.036,0.193,0.012,0.991,0.044,0.08,0.138,0.525,0.1,0.181,12.4,0.379,0.339,0.636,0.582,1.052,0.605,0.007,0.375,11.4,0.002,0.057,0.302
2018-Q2,2,2018,15.8,2.1,0.166,0.011,1113,8241,0.034,0.271,0.012,0.991,0.041,0.076,0.131,0.439,0.1,0.116,13.1,0.335,0.21,0.626,0.583,0.981,0.638,0.007,0.389,12.1,0.004,0.327,0.39
2018-Q1,1,2018,,,0.178,0.01,998,6211,0.032,0.215,0.011,0.925,0.042,0.06,0.104,0.512,0.1,0.341,16.7,0.488,0.432,0.612,0.576,0.954,0.641,0.007,0.402,15.7,0.003,0.09,0.614
2017-Q4,4,2017,,,0.141,0.008,744,5698,0.029,0.132,0.011,0.971,0.039,0.054,0.105,0.625,0.1,0.031,18.6,0.237,0.226,0.559,0.511,0.902,0.619,0.006,0.439,17.6,0.004,0.039,0.36
