period,quarter,year,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2022-Q2,2,2022,613.3,4.1,41.1,0.007,0.002,147,17,112,3.5,211,31719,0.274,0.4,1.5,1.5,-0.466,3332,0.138,0.109,,1.1,0.3,8.4,0.7,3.6,11294,0.177,0.052,51,2.5,-0.116,0.4,,0.109,0.0,2.6,-2.323,0.005
2022-Q1,1,2022,353.7,4.5,-62.5,0.014,0.004,324,19,93,-1.5,397,31556,0.294,0.4,2.0,2.0,1.261,-2518,,,0.054,1.1,0.3,-11.2,0.8,3.4,18687,0.175,0.044,249,1.1,-0.157,0.3,1.0,,-0.5,2.4,-0.42,0.014
2021-Q4,4,2021,730.1,4.1,-35.0,0.006,0.002,198,18,108,0.3,175,31119,0.325,0.5,1.6,1.6,-0.92,-4342,0.133,0.033,,0.9,0.3,-5.7,0.9,3.1,10566,0.111,0.027,108,1.8,-0.172,0.3,,0.033,-0.9,2.1,-0.158,-0.004
2021-Q3,3,2021,58.1,4.1,-32.0,0.077,0.025,145,16,99,1.5,2201,31233,0.332,0.5,1.5,1.5,7.059,-5155,0.211,0.143,0.027,0.8,0.3,-4.3,1.0,3.0,9075,0.097,0.021,63,2.5,-0.242,0.3,0.7,0.143,0.3,2.0,-0.306,-0.003
2021-Q2,2,2021,444.8,3.9,-19.2,0.009,0.003,128,16,92,-12.8,273,31319,0.34,0.5,1.3,1.3,-0.875,-7427,,,,0.7,0.2,-2.6,2.1,2.9,5900,0.089,0.022,51,2.9,-0.513,0.3,,,0.0,1.9,0.513,0.159
2021-Q1,1,2021,59.3,4.8,-27.8,0.083,0.025,124,15,83,-10.3,2185,27012,0.308,0.4,1.2,1.2,15.911,-4909,,,0.031,0.8,0.2,-4.0,5.9,3.2,5199,0.14,0.032,55,3.0,-0.323,0.3,1.1,,-0.1,2.2,0.021,-0.023
2020-Q4,4,2020,967.2,4.5,-28.9,0.005,0.001,112,13,55,1.4,129,27653,0.318,0.5,1.2,1.1,-1.18,-4807,0.112,0.038,0.225,0.8,0.2,-4.5,7.5,3.1,3504,0.204,0.045,70,3.2,-0.329,0.4,1.0,0.038,5.9,2.1,0.35,0.071
2020-Q3,3,2020,-146.0,4.1,-38.4,-0.027,-0.009,42,8,38,-8.4,-716,25811,0.309,0.4,1.1,1.1,-1.17,-3561,,,,0.7,0.2,-5.1,5.1,3.2,2588,0.164,0.035,12,8.6,-1.126,0.6,,,1.1,2.2,-3.901,-0.066
2020-Q2,2,2020,25.6,3.9,90.9,0.15,0.051,41,7,25,-7.9,4215,27626,0.323,0.5,1.2,1.2,0.293,1227,,,0.277,0.7,0.2,13.3,3.2,3.1,4470,0.161,0.046,23,8.8,-1.391,0.9,1.0,,-1.2,2.1,-0.71,0.088
2020-Q1,1,2020,29.8,3.8,25.0,0.121,0.04,33,5,16,-9.7,3261,25389,0.293,0.4,1.3,1.2,-0.581,4238,,,,0.8,0.2,3.8,1.8,3.4,4975,0.179,0.05,21,11.1,-1.695,1.0,,,0.8,2.4,-0.574,-0.102
2019-Q4,4,2019,18.8,5.2,12.0,0.289,0.097,36,4,9,8.2,7789,28272,0.322,0.5,1.4,1.4,-0.191,9957,0.095,0.065,0.039,0.8,0.2,1.7,2.2,3.1,7720,0.397,0.104,31,10.2,-2.36,1.2,1.5,0.065,0.9,2.1,-0.18,0.031
2019-Q3,3,2019,14.3,5.0,12.1,0.382,0.134,22,3,3,17.0,9632,27411,0.344,0.5,1.2,1.2,0.003,12147,0.152,0.126,0.125,0.6,0.2,1.3,7.1,2.9,3853,0.213,0.043,22,16.7,-3.165,1.4,1.1,0.126,1.1,1.9,-0.111,-0.044
2019-Q2,2,2019,13.3,4.5,11.6,0.381,0.135,20,4,6,9.7,9600,28669,0.361,0.6,1.2,1.2,-0.022,13669,0.103,0.073,0.048,0.5,0.2,1.1,13.4,2.8,4232,0.317,0.065,17,18.5,-2.507,1.4,1.2,0.073,0.8,1.8,-0.025,0.001
2019-Q1,1,2019,11.8,4.0,10.7,0.393,0.144,30,3,5,32.6,9811,28628,0.375,0.6,1.2,1.2,0.019,14022,0.165,0.139,0.107,0.5,0.2,1.0,11.5,2.7,3231,0.329,0.071,28,12.2,-3.063,1.4,1.1,0.139,0.9,1.7,0.049,0.114
2018-Q4,4,2018,12.4,4.6,10.1,0.435,0.147,15,3,5,29.9,9631,25706,0.355,0.6,1.2,1.2,-0.04,13367,0.129,0.109,0.083,0.5,0.2,1.1,10.2,2.8,3873,0.515,0.112,13,23.8,-1.297,1.5,1.3,0.109,1.0,1.8,0.022,0.118
2018-Q3,3,2018,15.0,6.5,10.7,0.524,0.178,12,2,2,24.6,10036,22985,0.356,0.6,1.3,1.3,0.152,13085,0.17,0.151,0.132,0.6,0.2,1.2,11.6,2.8,4872,0.393,0.073,12,29.8,-2.207,1.8,1.0,0.151,0.9,1.8,-0.122,0.059
2018-Q2,2,2018,15.9,6.4,15.0,0.495,0.16,14,2,3,17.5,8714,21699,0.343,0.5,1.3,1.3,-0.143,14896,0.137,0.112,0.073,0.6,0.2,1.2,11.6,2.9,4367,0.42,0.062,13,26.4,-3.462,1.6,1.1,0.112,0.7,1.9,-0.092,0.02
2018-Q1,1,2018,17.8,8.5,12.5,0.599,0.198,15,2,2,28.2,10167,21268,0.356,0.6,1.4,1.4,0.219,16407,0.144,0.126,0.109,0.6,0.2,1.1,9.3,2.8,5772,0.495,0.073,15,24.1,-3.747,1.8,1.1,0.126,0.9,1.8,0.157,0.148
