period,quarter,year,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2022-Q2,2,2022,52.3,2.0,21.4,0.037,0.012,5,27,37,-2.2,698,18267,0.286,0.5,1.0,0.6,-0.632,1888,0.029,,,0.7,0.2,7.0,16.1,3.5,1408,0.2,0.145,-4,70.3,-0.096,3.2,,,0.7,2.1,-0.448,-0.09
2022-Q1,1,2022,26.4,2.5,15.0,0.099,0.033,9,34,43,1.9,1898,20072,0.306,0.5,1.1,0.6,-0.148,3420,0.041,0.004,0.004,0.6,0.2,3.7,15.9,3.3,5094,0.233,0.128,0,40.4,-0.071,2.7,0.4,0.004,1.9,1.9,-0.1,0.019
2021-Q4,4,2021,22.8,2.6,15.4,0.122,0.045,9,26,32,2.9,2227,19698,0.389,0.8,1.2,0.8,-0.107,3798,0.062,0.008,0.012,0.5,0.2,3.1,13.9,2.6,5963,0.219,0.1,4,40.2,-0.091,2.7,0.7,0.008,2.0,1.3,-0.095,0.02
2021-Q3,3,2021,20.7,2.7,15.7,0.141,0.053,9,27,25,-0.2,2493,19310,0.398,0.8,1.2,0.8,-0.197,4197,0.059,,0.002,0.6,0.3,3.1,13.6,2.5,5812,0.231,0.089,11,39.3,-0.104,2.5,0.7,,-2.9,1.2,-0.148,0.006
2021-Q2,2,2021,17.6,2.9,12.5,0.178,0.062,8,30,39,10.7,3105,19190,0.36,0.7,1.1,0.8,0.119,4928,0.09,0.034,0.032,0.6,0.2,2.4,11.9,2.8,5309,0.278,0.111,0,44.3,-0.12,2.3,0.8,0.034,1.1,1.5,0.227,0.04
2021-Q1,1,2021,19.5,2.9,15.0,0.167,0.059,8,28,36,5.5,2774,18458,0.364,0.7,1.1,0.8,2.632,4015,0.089,0.021,0.017,0.6,0.2,3.0,10.6,2.8,4708,0.364,0.138,0,47.0,-0.123,2.1,0.7,0.021,1.3,1.4,0.921,0.107
2020-Q4,4,2020,70.0,3.2,27.3,0.044,0.016,10,34,42,6.5,763,16667,0.346,0.7,1.1,0.8,-0.041,2090,0.119,0.03,0.03,0.7,0.3,5.8,11.2,2.9,2442,0.44,0.168,2,35.0,-0.119,2.0,0.8,0.03,1.3,1.5,-0.034,0.037
2020-Q3,3,2020,61.8,3.1,25.8,0.048,0.018,9,25,32,4.7,796,16078,0.355,0.7,1.1,0.8,-0.095,2165,0.114,0.033,0.031,0.7,0.3,4.9,12.4,2.8,1878,0.403,0.153,2,41.4,-0.105,2.5,0.8,0.033,1.2,1.5,-0.045,0.026
2020-Q2,2,2020,48.6,2.7,22.2,0.056,0.019,5,24,29,2.9,880,15669,0.333,0.6,1.0,0.8,-0.085,2268,0.102,0.018,0.04,0.7,0.3,5.0,10.1,3.0,1185,0.535,0.207,-1,80.5,-0.122,2.8,1.4,0.018,1.6,1.6,-0.262,0.06
2020-Q1,1,2020,36.5,2.4,15.0,0.06,0.021,6,19,24,-8.5,962,14788,0.341,0.7,1.0,0.8,-0.717,3071,0.012,,,0.7,0.3,3.8,10.1,2.9,552,0.486,0.21,0,66.3,-0.14,3.3,,,1.0,1.5,-0.434,-0.186
2019-Q4,4,2019,15.0,2.8,7.6,0.198,0.073,14,23,27,5.4,3397,18158,0.373,0.7,1.1,0.8,0.035,5430,0.072,0.022,0.02,0.6,0.2,2.1,9.3,2.7,4635,0.434,0.236,10,25.2,-0.139,3.2,1.4,0.022,1.3,1.4,0.035,0.049
2019-Q3,3,2019,16.8,3.2,9.9,0.2,0.069,17,24,33,6.2,3281,17307,0.379,0.8,1.2,0.8,0.038,5248,0.069,0.022,0.02,0.4,0.2,2.0,5.8,2.6,4984,0.329,0.132,8,21.8,-0.139,3.1,1.4,0.022,1.2,1.3,-0.017,0.104
2019-Q2,2,2019,17.2,3.5,11.1,0.207,0.064,16,28,34,6.3,3159,15677,0.34,0.6,1.1,0.8,0.001,5336,0.074,0.03,0.024,0.6,0.2,2.3,8.8,2.9,2869,0.427,0.139,10,22.9,-0.15,3.0,1.4,0.03,1.1,1.6,-0.022,-0.103
2019-Q1,1,2019,16.5,3.0,11.9,0.184,0.065,16,27,30,7.5,3158,17480,0.374,0.7,1.2,0.8,0.082,5454,0.09,0.033,0.029,0.6,0.2,2.5,9.0,2.7,5062,0.343,0.113,14,23.0,-0.138,3.0,1.3,0.033,1.1,1.4,0.039,0.084
2018-Q4,4,2018,15.9,2.9,12.1,0.181,0.06,14,24,29,3.8,2919,16122,0.363,0.7,1.1,0.8,-0.024,5247,0.067,0.017,0.017,0.6,0.3,2.3,5.8,2.8,3844,0.441,0.142,8,26.3,-0.136,3.1,1.4,0.017,1.3,1.4,-0.047,0.045
2018-Q3,3,2018,20.8,4.0,10.2,0.195,0.062,17,25,31,5.1,2993,15427,0.313,0.6,1.1,0.7,0.009,5507,0.072,0.025,0.017,0.8,0.3,2.0,6.2,3.2,3868,0.444,0.159,12,21.4,-0.148,3.0,1.4,0.025,1.0,1.8,0.028,0.039
2018-Q2,2,2018,17.3,3.5,11.3,0.183,0.06,15,31,32,8.1,2967,14846,0.282,0.5,1.1,0.7,0.117,5358,0.079,0.032,0.023,0.8,0.3,2.1,6.7,3.5,2940,0.606,0.18,14,23.9,-0.133,2.8,1.4,0.032,1.0,2.1,0.132,-0.116
2018-Q1,1,2018,26.3,4.2,12.5,0.16,0.055,17,31,29,5.4,2657,16791,0.329,0.6,1.2,0.8,-0.026,4733,0.071,0.024,0.02,0.9,0.3,2.8,7.7,3.0,5751,0.625,0.213,20,21.0,-0.143,2.7,1.3,0.024,1.1,1.7,-0.008,0.045
2017-Q4,4,2017,23.0,3.9,12.3,0.172,0.057,16,27,33,6.7,2728,16075,0.307,0.6,1.1,0.8,-0.185,4771,0.071,0.027,0.021,0.7,0.2,2.1,5.7,3.3,5484,0.597,0.189,10,22.6,-0.149,2.6,1.4,0.027,1.2,1.7,-0.106,0.048
2017-Q3,3,2017,15.7,3.4,14.6,0.227,0.077,16,27,30,7.8,3348,15332,0.324,0.6,1.2,0.8,-0.038,5339,0.083,0.026,0.02,0.5,0.2,1.6,3.2,3.1,5162,0.544,0.124,13,22.4,-0.144,2.7,1.4,0.026,1.1,1.6,-0.095,-0.128
