period,quarter,year,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2022-Q1,1,2022,10.3,1.9,0.242,0.035,2177,11999,0.075,0.459,0.048,0.636,0.04,0.169,0.254,0.164,0.2,0.463,5.9,0.669,0.488,0.725,0.664,1.366,0.531,0.032,0.331,4.9,0.035,0.101,0.243
2021-Q4,4,2021,15.3,2.1,0.18,0.024,1488,10896,0.076,0.23,0.045,0.609,0.041,0.158,0.243,0.258,0.2,-0.038,6.3,0.593,0.205,0.715,0.649,1.469,0.487,0.029,0.332,5.3,0.043,0.387,0.222
2021-Q3,3,2021,23.7,4.7,0.219,0.027,1547,7855,0.083,0.262,0.04,0.489,0.045,0.13,0.196,0.242,0.1,-0.007,7.7,0.607,0.213,0.723,0.662,1.326,0.545,0.026,0.311,6.7,0.056,0.039,0.141
2021-Q2,2,2021,24.1,5.0,0.23,0.029,1558,7563,0.088,0.234,0.035,0.447,0.05,0.133,0.193,0.234,0.2,0.094,7.5,0.612,0.333,0.751,0.688,1.331,0.564,0.024,0.281,6.5,0.056,0.072,0.151
2021-Q1,1,2021,17.4,3.5,0.225,0.027,1424,7057,0.086,0.175,0.035,0.439,0.054,0.128,0.186,0.235,0.1,-0.082,7.8,0.612,0.29,0.743,0.69,1.296,0.574,0.024,0.292,6.8,0.053,-0.103,0.142
2020-Q4,4,2020,11.6,2.3,0.219,0.026,1551,7864,0.087,0.184,0.034,0.453,0.059,0.126,0.182,0.258,0.1,0.038,7.9,0.593,0.271,0.748,0.694,1.246,0.6,0.024,0.289,6.9,0.052,0.062,0.131
2020-Q3,3,2020,8.8,1.8,0.222,0.026,1494,7407,0.087,0.168,0.036,0.479,0.063,0.12,0.179,0.294,0.1,-0.003,8.3,0.565,0.238,0.724,0.672,1.15,0.629,0.025,0.312,7.3,0.051,0.047,0.094
2020-Q2,2,2020,7.6,1.6,0.235,0.027,1498,7071,0.09,0.139,0.032,0.488,0.065,0.119,0.176,0.286,0.1,0.098,8.4,0.574,0.33,0.729,0.676,1.141,0.639,0.022,0.306,7.4,0.052,0.066,0.091
2020-Q1,1,2020,6.9,1.4,0.227,0.026,1364,6632,0.094,0.19,0.03,0.52,0.065,0.113,0.169,0.331,0.1,-0.266,8.8,0.531,0.234,0.725,0.671,1.223,0.593,0.02,0.308,7.8,0.057,-0.302,0.14
2019-Q4,4,2019,6.0,1.2,0.215,0.024,1859,9496,0.093,0.195,0.034,0.464,0.064,0.112,0.164,0.319,0.1,0.007,8.9,0.547,0.251,0.741,0.682,1.202,0.616,0.023,0.288,7.9,0.055,0.043,0.161
2019-Q3,3,2019,6.6,1.3,0.227,0.025,1846,9108,0.093,0.16,0.035,0.496,0.065,0.113,0.159,0.329,0.1,0.121,8.8,0.537,0.24,0.761,0.71,1.236,0.615,0.025,0.272,7.8,0.055,0.06,0.27
2019-Q2,2,2019,6.4,1.2,0.206,0.023,1647,8594,0.089,0.136,0.034,0.485,0.062,0.11,0.154,0.343,0.1,0.095,9.1,0.526,0.231,0.76,0.71,1.255,0.605,0.024,0.272,8.1,0.052,0.056,0.245
2019-Q1,1,2019,7.5,1.4,0.197,0.022,1504,8138,0.089,0.148,0.036,0.483,0.064,0.112,0.156,0.374,0.1,-0.091,8.9,0.5,0.179,0.773,0.719,1.23,0.628,0.026,0.259,7.9,0.053,0.041,0.224
2018-Q4,4,2018,6.7,1.4,0.228,0.024,1654,7816,0.087,0.274,0.035,0.459,0.061,0.107,0.157,0.317,0.1,0.076,9.3,0.546,0.274,0.732,0.685,1.296,0.565,0.024,0.297,8.3,0.054,0.086,0.212
2018-Q3,3,2018,9.7,2.1,0.229,0.025,1538,7195,0.092,0.21,0.047,0.417,0.065,0.108,0.16,0.408,0.1,-0.068,9.3,0.473,0.184,0.723,0.675,1.279,0.565,0.032,0.31,8.3,0.05,-0.03,0.193
2018-Q2,2,2018,9.7,2.1,0.279,0.027,1649,7420,0.091,0.101,0.041,0.439,0.062,0.113,0.166,0.336,0.1,0.049,8.9,0.534,0.206,0.723,0.678,1.314,0.55,0.028,0.312,7.9,0.047,0.043,0.227
2018-Q1,1,2018,14.1,3.1,0.278,0.027,1572,7116,0.09,0.213,0.041,0.445,0.064,0.111,0.167,0.312,0.1,0.086,9.0,0.549,0.273,0.71,0.665,1.321,0.537,0.028,0.326,8.0,0.047,0.065,0.243
2017-Q4,4,2017,9.7,2.1,0.274,0.026,1448,6679,0.086,0.237,0.034,0.508,0.062,0.107,0.163,0.346,0.1,0.083,9.4,0.509,0.26,0.704,0.658,1.368,0.515,0.022,0.329,8.4,0.042,0.075,0.263
2017-Q3,3,2017,9.6,2.1,0.274,0.026,1337,6214,0.09,0.146,0.031,0.495,0.065,0.109,0.165,0.363,0.1,0.097,9.2,0.509,0.302,0.713,0.661,1.312,0.543,0.02,0.316,8.2,0.042,0.415,0.29
2017-Q2,2,2017,,,0.319,0.024,1218,4391,0.084,0.186,0.028,0.572,0.06,0.078,0.12,0.375,0.1,0.144,12.7,0.499,0.183,0.699,0.652,1.251,0.559,0.018,0.321,11.7,0.037,0.045,0.372
2017-Q1,1,2017,,,0.288,0.022,1065,4201,0.081,0.107,0.035,0.492,0.058,0.081,0.123,0.332,0.1,0.164,12.3,0.533,0.284,0.709,0.662,1.175,0.603,0.023,0.314,11.3,0.036,0.079,0.321
2016-Q4,4,2016,,,0.265,0.019,914,3893,0.076,0.102,0.028,0.512,0.056,0.077,0.12,0.374,0.1,0.304,13.1,0.499,0.287,0.676,0.64,1.169,0.578,0.018,0.348,12.1,0.038,0.097,0.239
2016-Q3,3,2016,,,0.219,0.016,701,3550,0.072,0.094,0.031,0.449,0.055,0.077,0.121,0.465,0.1,0.12,13.0,0.466,0.327,0.673,0.632,1.027,0.655,0.02,0.348,12.0,0.037,0.095,0.214
2016-Q2,2,2016,,,0.212,0.015,626,3241,0.071,0.135,0.03,0.513,0.055,0.071,0.122,0.377,0.1,-0.056,14.1,0.448,0.096,0.626,0.583,0.996,0.629,0.017,0.391,13.1,0.04,0.014,0.227
2016-Q1,1,2016,,,0.25,0.016,663,3196,0.068,0.088,0.029,0.53,0.054,0.07,0.123,0.353,0.1,0.232,14.3,0.541,0.239,0.601,0.566,0.892,0.674,0.016,0.418,13.3,0.03,0.061,0.355
2015-Q4,4,2015,,,0.214,0.013,538,3011,0.062,0.155,0.027,0.554,0.052,0.069,0.115,0.56,0.1,0.15,14.5,0.285,0.137,0.64,0.602,0.897,0.714,0.016,0.38,13.5,0.027,0.05,0.49
2015-Q3,3,2015,,,0.194,0.012,468,2867,0.058,0.176,0.029,0.441,0.053,0.065,0.119,0.436,0.1,0.365,15.3,0.479,0.295,0.591,0.549,0.839,0.704,0.016,0.42,14.3,0.028,0.07,0.51
2015-Q2,2,2015,,,0.151,0.01,343,2681,0.051,0.131,0.028,0.466,0.054,0.067,0.124,0.406,0.1,0.097,15.0,0.462,0.205,0.583,0.537,0.799,0.729,0.015,0.423,14.0,0.022,0.267,0.548
2015-Q1,1,2015,,,0.161,0.009,312,2116,0.047,0.081,0.022,0.521,0.056,0.057,0.111,0.463,0.1,0.127,17.5,0.417,0.139,0.573,0.516,0.761,0.753,0.011,0.42,16.5,0.016,0.048,0.567
