Thứ tự,Tên công ty,Địa chỉ,Tỉnh,Loại hình,Điện thoại,Email,Mã số thuế,Năm thành lập,Thị trường,Chứng chỉ,Trạng thái,Website,,,,,,,,,,,,,
43,Ngọc Quí - Công Ty TNHH Ngọc Quí,"Quốc Lộ 1K, X. Tân Đông Hiệp, H. Dĩ An, ",Bình Dương,Khoáng Sản,(0274) 3729705,,,,,,"Hơn 2 năm chưa xác minh được,Quốc Lộ 1K, X. Tân Đông Hiệp, H. Dĩ An, ,(0274) 3729705                                 ",https://www.yellowpages.vn/lgs/3749415/ngoc-qui-cong-ty-tnhh-ngoc-qui.html,,,,,,,,,,,,,
44,Công ty TNHH Lingshou County Huayuan Mica,"KCN Liugou, H. Lingshou, ",Hebei,Nhà sản xuất,+86-0311-82675210,grace@huayuanmica.com,,,"Việt Nam, Châu á, Châu Âu, Châu Phi, Châu Mỹ",,"Đã xác minh: 23/4/2020   ,KCN Liugou, H. Lingshou, ,+86-0311-82675210                       ",http://huayuanmica.com,,,,,,,,,,,,,
45,Công Ty TNHH Khai Thác Chế Biến Khoáng Sản KL,"339 Nguyễn Thượng Hiền, P. 11, Q. 10, ",Tp. Hồ Chí Minh (TPHCM),Nhà sản xuất,"(028) 38326063, 0898716960                    ",phuc@kl-corp.com.vn,3800270995,2009,"Toàn quốc, Quốc tế",,"Đã xác minh: 28/9/2022   ,339 Nguyễn Thượng Hiền, P. 11, Q. 10, ,(028) 38326063, 0898716960                    ",http://www.kl-corp.com.vn,,,,,,,,,,,,,
46,Mỹ Nghệ Ngọc Linh - Công Ty TNHH Mỹ Nghệ Ngọc Linh,"381 Giải Phóng, Q. Thanh Xuân, ",Hà Nội,Nhà sản xuất,(024) 38691076,congtyngoclinh1993@gmail.com,,,Toàn quốc,,"Đã xác minh: 18/1/2019   ,381 Giải Phóng, Q. Thanh Xuân, ,(024) 38691076                                , 34 Đại Từ, Q. Hoàng Mai, Hà Nội",https://www.yellowpages.vn/lgs/731340/my-nghe-ngoc-linh-cong-ty-tnhh-my-nghe-ngoc-linh.html,,,,,,,,,,,,,
47,"
KENEE (Việt Nam) - Công Ty TNHH CP KENEE Việt Nam",541/2 Sư Vạn Hạnh P. 13 Q. 10,",Tp. Hồ Chí Minh (TPHCM)",Khoáng sản,(028) 38621508 ,",mail@kenee.com  ",,,,,",Không cam kết về độ chính xác thông tin này",http://www.kenee.com,,,,,,,,,,,,,
48,Đất Thịnh - Công Ty TNHH Đầu Tư Sản Xuất Thương Mại Đất Thịnh,"107/1-3 Trương Định, P. 6, Q. 3, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 39301792,,,,,,"Hơn 2 năm chưa xác minh được,107/1-3 Trương Định, P. 6, Q. 3, ,(028) 39301792                                ",https://www.yellowpages.vn/lgs/1110696/dat-thinh-cong-ty-tnhh-dau-tu-san-xuat-thuong-mai-dat-thinh.html,,,,,,,,,,,,,
49,Bồng Miêu - Công Ty TNHH Khai Thác Vàng Bồng Miêu,"996 P. An Hải Đông, Q. Sơn Trà, ",Tp. Đà Nẵng,Khoáng Sản,(0236) 3945288,hr@bsra.com,,,,,"Hơn 2 năm chưa xác minh được,996 P. An Hải Đông, Q. Sơn Trà, ,(0236) 3945288                                 ",https://www.yellowpages.vn/lgs/982413/bong-mieu-cong-ty-tnhh-khai-thac-vang-bong-mieu.html,,,,,,,,,,,,,
50,Công Ty Cổ Phần Khoáng Sản Và Xi Măng Cần Thơ,"Quốc Lộ 80, P. Thới Thuận, Q. Thốt Nốt, ",Tp. Cần Thơ,Thương mại và dịch vụ,(0292) 3859216,ximangcantho@vnn.vn,,,Toàn quốc,,"Hơn 2 năm chưa xác minh được,Quốc Lộ 80, P. Thới Thuận, Q. Thốt Nốt, ,(0292) 3859216                                 ",https://www.yellowpages.vn/lgs/995055/cong-ty-co-phan-khoang-san-va-xi-mang-can-tho.html,,,,,,,,,,,,,
51,Công Ty CP Khoáng Sản Pha Lê,"8th Floor, 169 Nguyen Ngoc Vu Str., Cau Giay Dist., ",Hà Nội,Khoáng Sản,(024) 35551669,phuongnm@phalecorp.com,,,,,"Đã xác minh: 24/6/2016   ,8th Floor, 169 Nguyen Ngoc Vu Str., Cau Giay Dist., ,(024) 35551669                                ",http://www.phalecorp.com,,,,,,,,,,,,,
52,Công Ty Cổ Phần Khai Thác Khoáng Sản Hà An Phát,"Tầng 2, Số nhà 20, Tổ 5, Ngõ Liên Cơ 1, P. Cầu Diễn, Q. Nam Từ Liêm, ",Hà Nội,Nhà sản xuất,(0238) 3786868,haanphat3979@gmail.com,106249371,2013,"Toàn quốc, Xuất khẩu","
ISO 9001:2015","Đã xác minh: 15/7/2021   ,Tầng 2, Số nhà 20, Tổ 5, Ngõ Liên Cơ 1, P. Cầu Diễn, Q. Nam Từ Liêm, ,(0238) 3786868                                 ",http://hapminerals.com,,,,,,,,,,,,,
53,Transcend Việt Nam - Công Ty TNHH Khoáng Sản (Cát Thủy Tinh) Transcend Việt Nam,"Khu Công Nghiệp Hòa Khánh, Lô G,Đường 3, Q. Liên Chiểu, ",Tp. Đà Nẵng,Khoáng Sản,(0236) 3730973,ylh@dng.vnn.vn,,,,,"Đã xác minh: 22/8/2015   ,Khu Công Nghiệp Hòa Khánh, Lô G,Đường 3, Q. Liên Chiểu, ,(0236) 3730973                                 ",https://www.yellowpages.vn/lgs/1096407/transcend-viet-nam-cong-ty-tnhh-khoang-san--cat-thuy-tinh--transcend-viet-nam.html,,,,,,,,,,,,,
54,Công Ty Việt Nam Resource - VPĐD,"25 Nguyễn Khắc Hiếu, Q. Ba Đình, ",Hà Nội,Khoáng Sản,(024) 37150170,,,,,,"Không cam kết về độ chính xác thông tin này,25 Nguyễn Khắc Hiếu, Q. Ba Đình, ,(024) 37150170                                ",https://www.yellowpages.vn/lgs/1316109/cong-ty-viet-nam-resource-vpdd.html,,,,,,,,,,,,,
55,Đồng Lợi - Công Ty TNHH Đồng Lợi,"3/9 Khu Phố Đông Tân, TT. Dĩ An, H. Dĩ An, ",Bình Dương,Khoáng Sản,(0274) 3742031,,,,,,"Không cam kết về độ chính xác thông tin này,3/9 Khu Phố Đông Tân, TT. Dĩ An, H. Dĩ An, ,(0274) 3742031                                 ",https://www.yellowpages.vn/lgs/981957/dong-loi-cong-ty-tnhh-dong-loi.html,,,,,,,,,,,,,
56,Ban Tích - Công Ty Cổ Phần Ban Tích,"19 Trần Phú, X. Điện Biên, Q. Ba Đình, ",Hà Nội,Khoáng Sản,(024) 37337174,biesco@fpt.vn,,,,,"Không cam kết về độ chính xác thông tin này,19 Trần Phú, X. Điện Biên, Q. Ba Đình, ,(024) 37337174                                ",http://www.biesco.com.vn,,,,,,,,,,,,,
57,Tấn Phát - Công Ty TNHH Tấn Phát,"196 P. Ngô Mây,Diên Hồng, Tp. Quy Nhơn, ",Bình Định,Khoáng Sản,(0256) 3522633,,,,,,"Không cam kết về độ chính xác thông tin này,196 P. Ngô Mây,Diên Hồng, Tp. Quy Nhơn, ,(0256) 3522633                                 ",https://www.yellowpages.vn/lgs/1173000/tan-phat-cong-ty-tnhh-tan-phat.html,,,,,,,,,,,,,
58,Doanh Nghiệp Tư Nhân Hoàng Minh,"Khóm 4,P. 5, TX. Trà Vinh, ",Trà Vinh,Khoáng Sản,(0294) 3844616,,,,,,"Hơn 2 năm chưa xác minh được,Khóm 4,P. 5, TX. Trà Vinh, ,(0294) 3844616                                 ",https://www.yellowpages.vn/lgs/1148706/doanh-nghiep-tu-nhan-hoang-minh.html,,,,,,,,,,,,,
